"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1694","title of the appliaction","chromium","2026-09-11","passed","2026-09-11","","facebook.spec.js","",""
"","4946","alert capture","chromium","2026-09-11","failed","2026-09-11","","alert.spec.js","",""
"","2","loop dropdown","chromium","2026-09-11","skipped","2026-09-11","","dropdown.spec.js","",""
"","5927","invalid password/username","chromium","2026-09-11","passed","2026-09-11","","invalid.spec.js","",""
"","5799","fileuppload testing","chromium","2026-09-11","passed","2026-09-11","","file.spec.js","",""
"","1729","json structure test","chromium","2026-09-11","failed","2026-09-11","","datajson.spec.js","",""
"","8078","hover testing","chromium","2026-09-11","passed","2026-09-11","","hover.spec.js","",""
"","354","second","chromium","2026-09-11","passed","2026-09-11","","example.spec.js","",""
"","30092","multiple tabs","chromium","2026-09-11","broken","2026-09-11","","multipletab.spec.js","",""
"","999","login appplication","chromium","2026-09-11","passed","2026-09-11","goup of test > test of login appliaction 02","test_driven.spec.js","",""
"","3379","keyword test implementation","chromium","2026-09-11","passed","2026-09-11","","keyword.spec.js","",""
"","1020","login appplication","chromium","2026-09-11","passed","2026-09-11","goup of test > test of login appliaction 03","test_driven.spec.js","",""
"","311","name","chromium","2026-09-11","passed","2026-09-11","","example.spec.js","",""
"","6099","login testing","chromium","2026-09-11","passed","2026-09-11","","login.spec.js","",""
"","10882","codegen testing","chromium","2026-09-11","failed","2026-09-11","","codegen.spec.js","",""
"","4122","auto suggest","chromium","2026-09-11","passed","2026-09-11","","autosuggest.spec.js","",""
"","31440","multiple select","chromium","2026-09-11","broken","2026-09-11","","dropdown.spec.js","",""
"","0","demo test","chromium","2026-09-11","skipped","2026-09-11","","example.spec.js","",""
"","2365","dropdown testing","chromium","2026-09-11","passed","2026-09-11","","dropdown.spec.js","",""
"","10729","logout testing","chromium","2026-09-11","passed","2026-09-11","","login.spec.js","",""
"","1119","login appplication","chromium","2026-09-11","passed","2026-09-11","goup of test > test of login appliaction 01","test_driven.spec.js","",""
